batsman,out,numberofballs,average,strikerate,total_runs
SB Joshi,2,14,3,42.85714286,6
J Yadav,0,10,,60,6
BA Bhatt,0,7,,85.71428571,6
S Sharma,0,3,,200,6
PSP Handscomb,1,12,6,50,6
B Stanlake,0,2,,250,5
A Zampa,2,8,2.5,62.5,5
R Salam,0,4,,125,5
Shivam Sharma,1,3,5,166.6666667,5
SJ Srivastava,1,5,5,100,5
P Awana,3,14,1.666666667,35.71428571,5
KMDN Kulasekara,0,2,,250,5
B Laughlin,2,13,2.5,38.46153846,5
DP Nannes,1,13,4,30.76923077,4
A Uniyal,1,7,4,57.14285714,4
FH Edwards,1,5,4,80,4
A Chandila,1,7,4,57.14285714,4
A Dananjaya,0,5,,80,4
CRD Fernando,1,3,4,133.3333333,4
GD McGrath,1,5,4,80,4
M Ashwin,3,8,1.333333333,50,4
H Vihari,2,8,2,50,4
Avesh Khan,0,3,,133.3333333,4
RS Sodhi,0,2,,200,4
VRV Singh,1,2,4,200,4
CJ Jordan,1,5,3,60,3
S Tyagi,0,4,,75,3
A Turner,3,10,1,30,3
R Ninan,1,6,3,50,3
D Kalyankrishna,1,7,3,42.85714286,3
JE Taylor,0,3,,100,3
H Viljoen,2,5,1.5,60,3
BAW Mendis,2,6,1.5,50,3
Mohammad Asif,2,6,1.5,50,3
Kamran Khan,1,5,3,60,3
Younis Khan,1,7,3,42.85714286,3
KP Appanna,1,3,2,66.66666667,2
RS Gavaskar,1,8,2,25,2
SB Wagh,2,3,1,66.66666667,2
Mohammad Ashraful,1,10,2,20,2
Mashrafe Mortaza,0,2,,100,2
S Randiv,1,4,2,50,2
Shoaib Akhtar,1,7,2,28.57142857,2
RG More,0,2,,100,2
A Singh,4,10,0.5,20,2
VS Yeligati,1,2,2,100,2
H Das,1,5,2,40,2
SE Bond,1,2,1,50,1
PM Sarvesh Kumar,0,2,,50,1
Shoaib Ahmed,2,6,0.5,16.66666667,1
Mustafizur Rahman,1,3,1,33.33333333,1
LH Ferguson,0,1,,100,1
H Gurney,0,5,,20,1
L Plunkett,1,3,1,33.33333333,1
BE Hendricks,1,3,1,33.33333333,1
P Parameswaran,0,2,,50,1
DP Vijaykumar,0,1,,100,1
DJ Muthuswami,1,3,1,33.33333333,1
M Wood,1,3,1,33.33333333,1
NJ Rimmington,0,1,,100,1
P Krishna,1,7,1,14.28571429,1
M de Lange,1,2,1,50,1
K Ahmed,1,1,0,0,0
C Nanda,1,1,0,0,0
YA Abdulla,0,1,,0,0
U Kaul,0,1,,0,0
P Raj,0,1,,0,0
S Lamichhane,1,1,0,0,0
RR Bhatkal,2,2,0,0,0
IC Pandey,1,2,0,0,0
L Ablish,0,2,,0,0
Abdur Razzak,0,2,,0,0
Sunny Gupta,1,1,0,0,0
ND Doshi,1,13,0,0,0
J Denly,1,1,0,0,0
S Ladda,2,9,0,0,0
V Pratap Singh,1,1,0,0,0
S Kaushik,1,1,0,0,0
